squat jump,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,
nRows=11730,,,,,,,,,,,,,,,,,,
nColumns=19,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,
time,ground_force1_vx,ground_force1_vy,ground_force1_vz,ground_force1_px,ground_force1_py,ground_force1_pz,ground_torque1_x,ground_torque1_y,ground_torque1_z,ground_force2_vx,ground_force2_vy,ground_force2_vz,ground_force2_px,ground_force2_py,ground_force2_pz,ground_torque2_x,ground_torque2_y,ground_torque2_z
0,2.040253,297.021057,38.062988,0.29205,0,-1.133145,0.000021,-1.991029,0.000002,-1.20007,344.608276,-40.081123,0.282695,0,-0.736175,0.000015,1.130155,0.000004
0.001,1.962572,296.543701,37.495697,0.292367,0,-1.134947,0.000032,-2.150028,0.000003,-1.519133,346.822998,-40.403034,0.282946,0,-0.734395,-0.000002,1.122158,0.000008
0.002,2.441168,296.229919,37.496384,0.292217,0,-1.134339,-0.000007,-2.072994,0.000005,-1.441452,343.346008,-40.243111,0.282211,0,-0.737894,0.000004,1.319598,0.000009
0.003,2.279968,296.384735,37.580475,0.291859,0,-1.134998,0.00001,-2.136966,0.000005,-1.600984,346.508423,-40.321697,0.282534,0,-0.734318,0.000002,1.252747,0.000003
0.004,2.6007,297.330872,37.903755,0.292609,0,-1.135271,0.000016,-2.171769,0.000007,-1.760515,344.294983,-40.322388,0.282591,0,-0.735185,-0.000006,1.336215,0.000002
0.005,2.918095,296.86026,37.499825,0.292989,0,-1.135182,0.000002,-2.058899,0.000012,-1.362937,346.191162,-39.915703,0.282746,0,-0.73452,0.00003,1.232831,0.000006
0.006,2.599031,297.497406,37.906509,0.291829,0,-1.135197,0,-2.166752,0.000005,-1.363771,344.290222,-39.9991,0.28246,0,-0.735784,0.00002,1.396876,0.000008
0.007,2.518848,297.651062,37.745209,0.291711,0,-1.13627,0.000025,-2.189662,0.000001,-1.363771,346.187378,-40.077686,0.283128,0,-0.733912,0.000018,1.300748,0.000012
0.008,2.676712,297.016602,38.312508,0.29217,0,-1.13571,0.000008,-2.072791,0.000002,-1.682835,344.605988,-39.673752,0.28262,0,-0.735475,0.000011,1.431866,0.000005
0.009,2.836245,297.490814,38.15052,0.292319,0,-1.135528,-0.000007,-2.044582,0.00001,-1.362937,345.867981,-39.916389,0.282926,0,-0.735751,0.000013,1.275704,0.000004
0.01,2.756895,296.860107,37.988533,0.292066,0,-1.135091,0.000005,-2.079961,0.000012,-1.682835,343.657715,-40.318947,0.282571,0,-0.735394,0.00001,1.283033,0
